Date,Tourist
1/1/1998,135.0776903
4/1/1998,109.987316
7/1/1998,166.0346866
10/1/1998,127.1604643
1/1/1999,137.4485333
4/1/1999,199.9125861
7/1/1999,169.3550898
10/1/1999,134.3579372
1/1/2000,154.034398
4/1/2000,168.7763637
7/1/2000,223.0651159
10/1/2000,241.2206893
1/1/2001,132.5000378
4/1/2001,178.3980945
7/1/2001,195.9963258
10/1/2001,101.1746931
1/1/2002,237.8327914
4/1/2002,150.7266327
7/1/2002,167.7128424
10/1/2002,140.3395127
1/1/2003,139.4467919
4/1/2003,159.6580081
7/1/2003,232.1073047
10/1/2003,158.5960175
1/1/2004,138.4674189
4/1/2004,229.7141455
7/1/2004,242.4943675
10/1/2004,123.0611006
1/1/2005,127.9992552
4/1/2005,73.2530124
7/1/2005,166.7247035
10/1/2005,122.2969489
1/1/2006,127.247714
4/1/2006,176.075701
7/1/2006,157.857561
10/1/2006,106.677495
1/1/2007,134.3680297
4/1/2007,168.5935923
7/1/2007,146.1038104
10/1/2007,134.5737045
1/1/2008,127.1683903
4/1/2008,151.9719803
7/1/2008,152.2058109
10/1/2008,160.6362718
1/1/2009,113.8600217
4/1/2009,152.7243494
7/1/2009,121.9832332
10/1/2009,191.1538074
1/1/2010,68.7253928
4/1/2010,182.18332
7/1/2010,120.5336824
10/1/2010,155.0707525
1/1/2011,109.699807
4/1/2011,148.4397274
7/1/2011,140.6574624
10/1/2011,148.815411
1/1/2012,126.8571108
4/1/2012,154.920891
7/1/2012,150.0191305
10/1/2012,178.3637579
1/1/2013,101.6471351
4/1/2013,100.6409434
7/1/2013,179.8741671
10/1/2013,142.8077977
1/1/2014,127.3236791
4/1/2014,139.0854509
7/1/2014,173.3228706
10/1/2014,124.5883668
1/1/2015,143.5832868
4/1/2015,161.3704888
7/1/2015,180.4919573
10/1/2015,179.7114269
1/1/2016,193.3044037
4/1/2016,190.0252157
7/1/2016,195.9832501
10/1/2016,152.4288872
1/1/1998,223.5574059
4/1/1998,130.287369
7/1/1998,156.089398
10/1/1998,182.3289795
1/1/1999,185.33188
4/1/1999,134.6696903
7/1/1999,136.0347311
10/1/1999,168.6863799
1/1/2000,184.1202637
